SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
102,Male,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Always,Sometimes,Often,Often,Always,Sometimes,Never,Always,Sometimes,Rarely,Always,Often,Never,Never,Never,Never,Rarely,Always,Always,Often,Rarely,Never,Never,Difficulty understanding content,Career,No,yes,yes,yes,yes,Yes,Personal reasons  ,Always,Rarely,Rarely,Rarely,No,Rarely,Never,Never,Never,Solving on my own  ,Rarely,Yes,Watching TV  ,Often,Rarely,Never,Sometimes,Sometimes,Always,Always,Often,Never,Never,Not Sure,Not Sure,Rarely,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,35.0,33.33333333333333,8.333333333333332,31.666666666666664,Moderate Risk,Moderate Risk,Moderate Risk,Low Risk,35.547916666666644
103,Male,Always,Never,Never,Never,Rarely,Always,Never,No,Rarely,Rarely,Never,Never,Often,Always,Never,Sometimes,Never,Rarely,Never,Rarely,Always,Never,Rarely,Rarely,Always,Often,Always,Never,Often,Distractions,Exams,No,yes,yes,yes,No,Yes,Difficulty understanding content  ,Always,Rarely,Often,Never,No,Sometimes,Never,Rarely,Sometimes,Waiting for things to improve  ,Never,Yes,Writing a diary  ,Never,Never,Often,Always,Rarely,Sometimes,Often,Always,Sometimes,Sometimes,No,No,Never,Often,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,15.0,58.333333333333336,41.66666666666667,42.5,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,42.79791666666667
104,Male,Rarely,Often,Always,Sometimes,Rarely,Never,Often,Yes,Always,Often,Always,Never,Often,Often,Never,Always,Rarely,Always,Always,Sometimes,Rarely,Always,Often,Never,Often,Rarely,Often,Rarely,Rarely,Lack of concentration,I dont feel anxious,No,No,No,yes,yes,No,Technical issues  ,Never,Rarely,Never,Often,Yes,Always,Sometimes,Always,Rarely,Talking to friends  ,Often,No,Changing the way I think  ,Never,Often,Always,Rarely,Always,Always,Sometimes,Always,Sometimes,Often,Not Sure,Not Sure,Always,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,60.0,75.0,75.0,65.0,Moderate Risk,High Risk,High Risk,High Risk,64.32291666666666
105,Male,Never,Rarely,Sometimes,Often,Often,Often,Often,Yes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,Often,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Often,Sometimes,Rarely,Often,Always,Sometimes,Never,Distractions,Studies,Yes,Yes,yes,No,No,No,Lack of social interaction  ,Sometimes,Sometimes,Always,Rarely,No,Often,Often,Rarely,Never,Talking to teachers  ,Always,Yes,Yoga or meditation  ,Rarely,Often,Sometimes,Often,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Not Sure,Not Sure,Always,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Using weapons or carrying dangerous objects that could hurt others",50.0,65.0,41.66666666666667,33.33333333333333,47.5,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,50.28749999999998
106,Male,Always,Rarely,Often,Always,Sometimes,Sometimes,Often,Sometimes,Never,Often,Rarely,Often,Always,Often,Always,Sometimes,Rarely,Often,Sometimes,Often,Often,Rarely,Often,Never,Rarely,Rarely,Often,Rarely,Sometimes,Difficulty understanding content,Career,No,No,yes,yes,yes,Yes,Lack of time management  ,Always,Always,Never,Never,No,Rarely,Always,Sometimes,Always,Ignoring the feelings  ,Rarely,No,Helping others  ,Sometimes,Never,Rarely,Always,Often,Always,Always,Sometimes,Often,Never,Not Sure,Not Sure,Skip,Sometimes,"Skipping classes, Bullying or getting into fights, Driving without a license",60.0,60.0,54.166666666666664,58.333333333333336,58.125,High Risk,High Risk,Moderate Risk,Moderate Risk,55.63541666666666
107,Female,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Rarely,No,Always,Rarely,Rarely,Rarely,Always,Rarely,Never,Sometimes,Always,Sometimes,Never,Often,Always,Rarely,Rarely,Always,Rarely,Never,Always,Sometimes,Often,Poor study habits,College admissions,No,yes,yes,No,No,No,Electricity/internet problems  ,Never,Always,Always,Sometimes,No,Never,Always,Always,Never,Waiting for things to improve  ,Rarely,No,Watching TV  ,Always,Never,Sometimes,Rarely,Always,Rarely,Always,Often,Rarely,Rarely,No,No,Always,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",70.0,45.0,45.83333333333333,33.33333333333333,48.54166666666666,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,47.22708333333332
108,Prefer not to say,Sometimes,Sometimes,Rarely,Always,Always,Always,Always,No,Often,Never,Never,Often,Always,Often,Rarely,Often,Sometimes,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Often,Always,Difficulty managing time,Exams,Yes,Yes,No,yes,No,No,Personal reasons  ,Rarely,Always,Often,Sometimes,No,Sometimes,Rarely,Always,Always,Talking to parents  ,Often,No,Changing the way I think  ,Sometimes,Rarely,Always,Sometimes,Always,Never,Often,Rarely,Rarely,Never,No,No,Rarely,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,25.0,54.166666666666664,83.33333333333334,53.125,Moderate Risk,Low Risk,Moderate Risk,High Risk,51.17083333333332
109,Female,Always,Rarely,Rarely,Often,Often,Often,Never,Yes,Always,Sometimes,Always,Always,Never,Rarely,Often,Rarely,Rarely,Always,Sometimes,Sometimes,Often,Always,Rarely,Rarely,Sometimes,Rarely,Often,Always,Always,Lack of concentration,Results,Yes,No,yes,yes,yes,Yes,Technical issues  ,Sometimes,Rarely,Always,Often,No,Always,Often,Often,Often,Solving on my own  ,Sometimes,Yes,Writing a diary  ,Rarely,Never,Sometimes,Rarely,Always,Often,Always,Always,Often,Sometimes,No,No,Often,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Stealing or shoplifting",70.0,50.0,58.333333333333336,83.33333333333334,65.41666666666667,High Risk,Moderate Risk,Moderate Risk,High Risk,60.00625000000003
110,Female,Often,Always,Rarely,Rarely,Never,Sometimes,Never,No,Never,Rarely,Never,Often,Often,Always,Sometimes,Rarely,Always,Sometimes,Sometimes,Rarely,Always,Rarely,Sometimes,Sometimes,Always,Always,Always,Sometimes,Sometimes,Distractions,I dont feel anxious,Yes,Yes,yes,No,yes,Yes,Difficulty understanding content  ,Sometimes,Rarely,Often,Sometimes,No,Sometimes,Always,Never,Rarely,Talking to friends  ,Never,Yes,Yoga or meditation  ,Often,Never,Never,Never,Sometimes,Never,Often,Sometimes,Never,Sometimes,No,No,Skip,Skip,"Skipping classes, Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",45.0,40.0,16.666666666666664,25.0,31.666666666666664,Moderate Risk,Moderate Risk,Low Risk,Low Risk,41.55833333333334
111,Male,Often,Rarely,Sometimes,Sometimes,Sometimes,Always,Sometimes,No,Often,Always,Never,Always,Often,Rarely,Never,Often,Sometimes,Always,Sometimes,Always,Sometimes,Often,Rarely,Often,Rarely,Always,Sometimes,Always,Often,Difficulty understanding content,Career,No,Yes,yes,No,yes,No,Lack of social interaction  ,Never,Rarely,Rarely,Rarely,Yes,Sometimes,Rarely,Never,Always,Ignoring the feelings  ,Rarely,Yes,Helping others  ,Sometimes,Rarely,Often,Never,Never,Always,Sometimes,Never,Always,Always,Yes,Yes,Often,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Driving without a license, Running away from home",60.0,80.0,33.33333333333333,50.0,55.83333333333333,High Risk,High Risk,Moderate Risk,Moderate Risk,54.48333333333332
112,Prefer not to say,Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Always,Sometimes,Always,Always,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Always,Often,Never,Often,Never,Always,Rarely,Always,Sometimes,Never,Sometimes,Poor study habits,Studies,Yes,Yes,yes,yes,No,No,Lack of time management  ,Often,Always,Never,Sometimes,Yes,Rarely,Never,Rarely,Sometimes,Solving on my own  ,Never,Yes,Changing the way I think  ,Rarely,Sometimes,Often,Always,Often,Always,Sometimes,Rarely,Never,Never,Not Sure,Not Sure,Often,Rarely,"Skipping classes, Bullying or getting into fights, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,40.0,54.166666666666664,33.33333333333333,44.375,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,45.60208333333332
113,Female,Always,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Yes,Always,Sometimes,Rarely,Never,Often,Often,Sometimes,Often,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Often,Always,Often,Always,Sometimes,Always,Sometimes,Difficulty managing time,Exams,No,No,yes,yes,yes,No,Electricity/internet problems  ,Sometimes,Often,Sometimes,Rarely,No,Often,Always,Often,Rarely,Talking to teachers  ,Rarely,Yes,Writing a diary  ,Often,Often,Rarely,Always,Never,Rarely,Sometimes,Never,Often,Sometimes,Not Sure,Not Sure,Sometimes,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Running away from home, Using weapons or carrying dangerous objects that could hurt others",50.0,50.0,45.83333333333333,58.333333333333336,51.041666666666664,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,51.162500000000016
114,Female,Rarely,Rarely,Often,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Always,Often,Often,Never,Always,Rarely,Sometimes,Rarely,Often,Always,Sometimes,Never,Often,Rarely,Always,Rarely,Lack of concentration,College admissions,No,No,yes,yes,No,No,Personal reasons  ,Often,Rarely,Rarely,Always,Yes,Never,Sometimes,Rarely,Sometimes,Waiting for things to improve  ,Never,No,Watching TV  ,Often,Sometimes,Often,Often,Often,Never,Always,Always,Rarely,Always,No,No,Always,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Running away from home",50.0,50.0,66.66666666666666,25.0,47.916666666666664,Moderate Risk,Moderate Risk,High Risk,Low Risk,44.07500000000001
115,Prefer not to say,Sometimes,Never,Often,Often,Often,Sometimes,Never,Sometimes,Sometimes,Rarely,Often,Never,Never,Often,Sometimes,Always,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Always,Never,Sometimes,Often,Always,Poor study habits,Results,Yes,yes,yes,yes,No,No,Difficulty understanding content  ,Often,Often,Always,Never,No,Often,Never,Never,Rarely,Talking to parents  ,Never,No,Yoga or meditation  ,Rarely,Rarely,Sometimes,Often,Rarely,Never,Often,Always,Sometimes,Always,No,No,Often,Always,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",70.0,35.0,54.166666666666664,33.33333333333333,48.125,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,49.49166666666668
116,Female,Rarely,Never,Sometimes,Always,Often,Always,Always,Sometimes,Often,Sometimes,Often,Often,Always,Always,Rarely,Often,Always,Often,Rarely,Often,Rarely,Never,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Often,Distractions,I dont feel anxious,Yes,Yes,yes,No,No,No,Technical issues  ,Rarely,Rarely,Always,Rarely,No,Rarely,Never,Rarely,Always,Talking to friends  ,Rarely,Yes,Helping others  ,Rarely,Always,Never,Often,Sometimes,Always,Often,Always,Always,Always,Yes,Yes,Sometimes,Always,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",80.0,70.0,70.83333333333334,50.0,67.70833333333334,High Risk,High Risk,High Risk,Moderate Risk,62.458333333333314
117,Female,Sometimes,Sometimes,Always,Often,Often,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,Always,Always,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Often,Sometimes,Always,Always,Difficulty understanding content,Exams,No,No,No,yes,yes,Yes,Lack of social interaction  ,Sometimes,Always,Rarely,Often,No,Often,Often,Never,Sometimes,Solving on my own  ,Rarely,No,Watching TV  ,Never,Never,Always,Never,Often,Never,Often,Rarely,Often,Sometimes,Yes,Yes,Skip,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally",50.0,75.0,45.83333333333333,41.66666666666667,53.125,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,51.45
118,Female,Rarely,Rarely,Often,Rarely,Always,Sometimes,Always,Sometimes,Always,Always,Never,Rarely,Often,Never,Sometimes,Never,Always,Never,Rarely,Rarely,Often,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Difficulty managing time,Studies,No,Yes,yes,yes,No,Yes,Electricity/internet problems  ,Often,Often,Always,Never,Yes,Sometimes,Often,Always,Rarely,Talking to teachers  ,Sometimes,No,Writing a diary  ,Never,Rarely,Often,Often,Rarely,Often,Never,Never,Often,Always,Yes,Yes,Never,Rarely,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",70.0,60.0,45.83333333333333,58.333333333333336,58.541666666666664,High Risk,High Risk,Moderate Risk,Moderate Risk,56.650000000000034
119,Prefer not to say,Rarely,Always,Rarely,Sometimes,Rarely,Often,Always,No,Sometimes,Often,Sometimes,Sometimes,Often,Always,Sometimes,Rarely,Always,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Often,Often,Always,Never,Sometimes,Lack of concentration,Results,No,yes,yes,No,yes,Yes,Lack of time management  ,Rarely,Always,Always,Never,No,Never,Never,Never,Often,Ignoring the feelings  ,Often,No,Changing the way I think  ,Always,Always,Often,Sometimes,Rarely,Rarely,Rarely,Never,Never,Often,No,No,Always,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts)",65.0,30.0,41.66666666666667,25.0,40.41666666666667,High Risk,Moderate Risk,Moderate Risk,Low Risk,41.0895833333333
120,Prefer not to say,Never,Never,Never,Never,Never,Sometimes,Always,Yes,Often,Rarely,Sometimes,Always,Always,Sometimes,Sometimes,Often,Often,Rarely,Always,Sometimes,Rarely,Rarely,Rarely,Often,Always,Sometimes,Never,Always,Often,Poor study habits,College admissions,No,Yes,No,No,yes,Yes,Personal reasons  ,Sometimes,Never,Sometimes,Sometimes,No,Rarely,Never,Always,Rarely,Waiting for things to improve  ,Often,Yes,Yoga or meditation  ,Never,Rarely,Sometimes,Often,Always,Sometimes,Never,Sometimes,Never,Always,Not Sure,Not Sure,Often,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally",40.0,35.0,50.0,50.0,43.75,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,50.66458333333332
121,Female,Sometimes,Sometimes,Always,Always,Often,Rarely,Often,Yes,Never,Rarely,Often,Never,Often,Rarely,Often,Sometimes,Rarely,Never,Rarely,Often,Rarely,Often,Sometimes,Rarely,Often,Often,Rarely,Often,Never,Distractions,Career,Yes,No,No,No,yes,No,Technical issues  ,Always,Often,Never,Never,Yes,Never,Never,Never,Always,Talking to parents  ,Never,Yes,Helping others  ,Often,Rarely,Never,Always,Often,Often,Never,Always,Often,Often,No,No,Never,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally",45.0,10.0,62.5,33.33333333333333,37.70833333333333,Moderate Risk,Low Risk,High Risk,Moderate Risk,40.69583333333337
122,Prefer not to say,Often,Rarely,Often,Always,Always,Always,Never,No,Never,Rarely,Often,Rarely,Rarely,Rarely,Never,Often,Rarely,Rarely,Never,Always,Sometimes,Always,Rarely,Always,Never,Rarely,Always,Always,Never,Difficulty understanding content,I dont feel anxious,No,Yes,No,No,No,No,Difficulty understanding content  ,Often,Never,Sometimes,Often,Yes,Always,Never,Sometimes,Rarely,Talking to teachers  ,Sometimes,Yes,Watching TV  ,Never,Never,Rarely,Rarely,Never,Always,Rarely,Often,Always,Rarely,No,No,Rarely,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Running away from home, Using weapons or carrying dangerous objects that could hurt others",40.0,15.0,37.5,58.333333333333336,37.708333333333336,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,40.75208333333335
123,Male,Rarely,Never,Always,Rarely,Never,Often,Sometimes,No,Rarely,Never,Rarely,Often,Rarely,Always,Never,Sometimes,Often,Often,Rarely,Always,Often,Often,Rarely,Always,Rarely,Never,Always,Sometimes,Never,Lack of concentration,Results,Yes,Yes,No,No,yes,Yes,Lack of social interaction  ,Rarely,Sometimes,Often,Rarely,No,Rarely,Never,Never,Rarely,Solving on my own  ,Often,Yes,Changing the way I think  ,Always,Always,Rarely,Sometimes,Rarely,Often,Always,Sometimes,Always,Often,No,No,Skip,Rarely,"Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Using weapons or carrying dangerous objects that could hurt others",75.0,15.0,58.333333333333336,16.666666666666664,41.25,High Risk,Low Risk,Moderate Risk,Low Risk,41.13333333333334
124,Prefer not to say,Often,Often,Always,Sometimes,Never,Often,Often,No,Rarely,Never,Rarely,Often,Always,Always,Never,Sometimes,Often,Rarely,Often,Never,Often,Often,Rarely,Rarely,Sometimes,Often,Never,Always,Sometimes,Poor study habits,Studies,No,yes,yes,yes,yes,No,Electricity/internet problems  ,Rarely,Often,Sometimes,Sometimes,Yes,Often,Often,Often,Often,Talking to friends  ,Rarely,Yes,Writing a diary  ,Sometimes,Often,Always,Often,Always,Sometimes,Often,Always,Sometimes,Rarely,Yes,Yes,Often,Never,"Bullying or getting into fights, Driving without a license, Avoiding homework or assignments intentionally",55.00000000000001,70.0,83.33333333333334,75.0,70.83333333333334,Moderate Risk,High Risk,High Risk,High Risk,65.21666666666661
